Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Sahil Vashishtha,TSGN Royal Lions,All-Rounder,Right-arm Off Break,RHB,6,14.914,8.762,1.046,24.722
Aakash Parmar,TSGN Royal Warriors,,Right-arm fast,RHB,6,13.655,9.905,1.056,24.616
Chandrashekar Umapathi,SPVGG Dragons,Top-order batter,Right-arm medium,RHB,6,19.237,0.000,3.008,22.245
Nipun K,DCC Rising Stars,All-Rounder,Right-arm fast,RHB,4,3.647,17.181,1.056,21.884
Deepak Kumar Purseth,TSGN Mavericks,None,Right-arm medium,RHB,5,12.773,8.274,0.320,21.367
Chirag kankariya,TSGN Royal Lions,,Right-arm fast,RHB,4,3.548,14.381,1.792,19.721
Aamod Kulkarni,TSGN Royal Warriors,,,RHB,7,13.869,0.000,5.494,19.363
Mayank Panchal,TSGN Royal Lions,All-Rounder,Left-arm medium,LHB,6,2.941,15.176,0.896,19.013
Harsh Patel,TSGN Royal Warriors,Bowler,Right-arm medium,RHB,7,0.000,12.190,6.560,18.750
Sagar Rajguru,TSGN Titans,Opening batter,Right-arm fast,RHB,5,17.530,0.000,1.152,18.682
Jitendra Singh,TSGN Royal Lions,All-Rounder,Right-arm medium,RHB,7,1.411,16.024,0.960,18.395
Viraj Shah,TSGN Royal Warriors,Middle-order batter,Left-arm fast,LHB,5,14.036,3.249,0.960,18.245
Shubham Bhatt,TSGN Royal Warriors,All-Rounder,Right-arm medium,RHB,6,0.100,15.607,2.464,18.171
Arpit Jain,TSGN Royal Lions,,Right-arm medium,RHB,7,3.788,13.058,0.960,17.806
Shrenik Jain,TSGN Royal Warriors,,Right-arm fast,RHB,4,0.992,14.489,1.536,17.017
Manoj Kumar,SPVGG Dragons,Lower-order batter,Right-arm fast,RHB,4,8.625,8.361,0.000,16.986
Shiva,TSGN Titans,All-Rounder,Right-arm fast,RHB,4,0.937,14.709,1.152,16.798
Srihari Nandamuri,TSGN Titans,All-Rounder,Right-arm medium,RHB,6,5.789,10.547,0.320,16.656
Hemant Patil,TSGN Royal Warriors,All-Rounder,Right-arm medium,RHB,5,14.591,1.030,0.512,16.133
H Pavan Kumar,SPVGG Dragons,,Right-arm medium,RHB,6,0.716,12.901,1.632,15.249
Raj,TSGN Titans,,Right-arm Leg Break,RHB,6,1.406,12.546,0.896,14.848
Bharat Bandaru,TSGN Titans,,Right-arm medium,RHB,6,5.637,7.331,1.600,14.568
Manish Nassa,TSGN Royal Lions,,Right-arm fast,RHB,6,14.285,0.000,0.192,14.477
Ambarish Vadher,TSGN Royal Lions,,Right-arm Off Break,RHB,7,10.282,2.905,0.576,13.763
Krishna A,DCC Rising Stars,Top-order batter,Right-arm medium,RHB,4,12.163,0.000,1.600,13.763
Mohd Akram,TSGN Royal Warriors,,Right-arm medium,RHB,6,13.568,0.000,0.000,13.568
Praveen Nagol,TSGN Titans,Wicket-keeper batter,Left-arm fast,RHB,6,8.320,4.124,1.120,13.564
Ankur Tyagi,SPVGG Dragons,,Right-arm Off Break,RHB,6,11.329,0.000,2.080,13.409
Manoj Shukla,DCC Rising Stars,Wicket-keeper batter,Right-arm medium,RHB,5,0.600,11.118,1.216,12.934
Chetan Sahil,TSGN Titans,,Left-arm medium,LHB,5,6.940,5.226,0.256,12.422
Jigar Rajeshkumar Modi,TSGN Royal Warriors,Top-order batter,Left-arm medium,LHB,7,11.056,0.000,0.576,11.632
Humad Khan,TSGN Mavericks,,Left-arm medium,RHB,3,5.590,5.352,0.576,11.518
Rajasekhar ,TSGN Titans,,Right-arm medium,RHB,6,9.053,1.714,0.640,11.407
Vivek Kumar Chandel,DCC Rising Stars,None,Right-arm medium,RHB,4,10.548,0.083,0.640,11.271
Keshav Rao,SPVGG Dragons,,Right-arm medium,RHB,6,0.600,9.442,0.640,10.682
Rishi,TSGN Royal Warriors,All-Rounder,Right-arm fast,RHB,6,7.543,1.769,1.152,10.464
Susheel Amingad,SPVGG Dragons,All-Rounder,Right-arm fast,RHB,6,2.383,6.161,1.920,10.464
Randeep Singh,DCC Rising Stars,,Right-arm medium,RHB,5,8.502,1.403,0.512,10.417
Ayush Vekariya,TSGN Mavericks,All-Rounder,Right-arm medium,RHB,4,1.234,6.181,2.880,10.295
Kaushik Sekar,DCC Rising Stars,,Right-arm fast,RHB,5,2.101,5.938,2.240,10.279
