player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
5502848,Jitendra Singh,9390582,TSGN Royal Lions,8,8,13,93,3,6.06,7.15,0,7.23,94,Right-arm medium,15.3,41
12797724,Rakesh Kumar Sahoo,3793721,Trebur Cricket Club,6,6,10,60,3,5.40,6.00,0,5.4,54,Right-arm medium,10.0,29
31638527,Manoj Shukla,7392287,DCC Rising Stars,5,5,10,60,3,5.60,6.00,0,5.6,56,Right-arm medium,10.0,32
33987148,Sharooz Ahmad,7437045,Hawk Hunters,8,8,10,78,3,7.69,7.80,0,10,100,Right-arm medium,13.0,36
5458344,Boney Mathew,1517508,Frankfurt Spartans Cricket Club,7,7,9,60,3,4.80,6.67,1,5.33,48,Right-arm medium,10.0,35
5478464,Tom Thomas,1517508,Frankfurt Spartans Cricket Club,5,5,9,54,3,6.11,6.00,0,6.11,55,Right-arm medium,9.0,31
14886437,Anand Reddy Nallapapireddigari,2623314,TSV Darmstadt United,6,5,9,52,3,7.15,5.78,2,6.89,62,Right-arm medium,8.4,27
31005552,Nithin Kumar,7251731,KK Challengers,5,5,9,57,3,7.37,6.33,0,7.78,70,Right-arm fast,9.3,30
11066263,H Pavan Kumar,7356382,SPVGG Dragons,7,7,9,78,2,7.85,8.67,1,11.33,102,Right-arm medium,13.0,37
12342906,Rahul Shinde,9390582,TSGN Royal Lions,8,6,9,72,3,8.08,8.00,0,10.78,97,Right-arm medium,12.0,35
19059367,Atta Ul Quddoos,7437045,Hawk Hunters,6,6,9,72,3,8.83,8.00,0,11.78,106,Right-arm fast,12.0,22
14946054,Tud Rhythm Chauhan,2623314,TSV Darmstadt United,6,5,8,54,2,4.56,6.75,0,5.13,41,Left-arm medium,9.0,29
41889849,Ahsan Bhalli New,8001451,Dietzenbacher Cricket Star,6,6,8,66,3,5.00,8.25,0,6.88,55,Slow left-arm orthodox,11.0,37
39201388,Arsalaan Mir,8001451,Dietzenbacher Cricket Star,6,6,8,66,2,6.18,8.25,0,8.5,68,Right-arm fast,11.0,27
31707540,Shashank Chalak,7436670,Giessener 11,6,6,8,66,3,6.45,8.25,0,8.88,71,Right-arm medium,11.0,30
41959501,Sriram Karanam,7356382,SPVGG Dragons,7,6,8,60,2,6.60,7.50,0,8.25,66,Right-arm fast,10.0,37
