Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Jitendra Singh,TSGN Royal Lions,All-Rounder,Right-arm medium,RHB,8,13.465,17.217,2.614,33.296
Waqas Qasim,Giessener 11,Top-order batter,Right-arm medium,RHB,6,17.669,4.628,2.8,25.097
TUD Rhythm Chauhan,TSV Darmstadt United,None,Left-arm medium,LHB,6,12.278,11.51,1.288,25.076
Anand Reddy Nallapapireddigari,TSV Darmstadt United,Middle-order batter,Right-arm medium,RHB,6,9.8,13.535,1.568,24.903
Shibin,Frankfurt Spartans Cricket Club,Wicket-keeper batter,Right-arm fast,RHB,7,12.842,8.065,2.462,23.369
Vaibhav Patil,Hawk Hunters,,Right-arm fast,RHB,7,11.357,9.644,2.044,23.045
Ashutosh Malasi,TSGN Royal Lions,,Right-arm fast,RHB,8,20.281,0,1.344,21.625
Sharooz Ahmad,Hawk Hunters,,Right-arm medium,RHB,8,5.245,13.456,2.492,21.193
Viraj Shah,TSGN Royal Warriors,Middle-order batter,Left-arm fast,LHB,5,9.258,9.304,1.4,19.962
Tarun,Dietzenbacher Cricket Star,,Right-arm Off Break,RHB,6,7.064,8.531,3.024,18.619
Chandrashekar Umapathi,SPVGG Dragons,Top-order batter,Right-arm medium,RHB,6,13.214,0,5.376,18.59
Rakesh Kumar Sahoo,Trebur Cricket Club,All-Rounder,Right-arm medium,RHB,6,2.348,14.962,1.008,18.318
Miral Gajjar,Frankfurt Spartans Cricket Club,,Left-arm medium,RHB,7,7.805,8.921,0.56,17.286
Lokendra,Ingelheim Cricket Club,,Right-arm medium,RHB,3,16.216,0.068,0.84,17.124
Bhavani Sankar,TSV Darmstadt XI,All-Rounder,Right-arm medium,RHB,4,8.149,8.882,0,17.031
H Pavan Kumar,SPVGG Dragons,,Right-arm medium,RHB,7,0.213,12.45,4.34,17.003
Baskar Ayyappa,Trebur Cricket Club,None,Right-arm medium,RHB,6,9.489,7.262,0.224,16.975
Umapathy Kumar,Trebur Cricket Club,,Right-arm medium,RHB,6,4.543,8.681,3.584,16.808
Arpit Samani,TSGN Royal Lions,All-Rounder,Right-arm fast,RHB,8,6.401,6.914,2.894,16.209
Arpit Jain,TSGN Royal Lions,,Right-arm medium,RHB,8,5.781,8.667,1.708,16.156
OG_Adepa,TSV Darmstadt United,Wicket-keeper batter,Right-arm Leg Break,RHB,6,9.49,5.417,0.84,15.747
Sahil Vashishtha,TSGN Royal Lions,All-Rounder,Right-arm Off Break,RHB,5,7.2,7.216,0.952,15.368
Prasoon Verma,Frankfurt Spartans Cricket Club,All-Rounder,Right-arm fast,RHB,4,11.709,2.967,0.56,15.236
Ahsan Bhalli New,Dietzenbacher Cricket Star,,Slow left-arm orthodox,RHB,6,1.4,11.868,1.904,15.172
Siva Seelam,DCC Rising Stars,,Right-arm fast,RHB,5,8.997,5.618,0.504,15.119
Tom Thomas,Frankfurt Spartans Cricket Club,Opening batter,Right-arm medium,RHB,5,1.7,12.76,0.6,15.06
Jomon,Mainz Cricket Club,,Right-arm fast,RHB,5,5.529,7.39,1.904,14.823
Manoj Shukla,DCC Rising Stars,Wicket-keeper batter,Right-arm medium,RHB,5,0,13.937,0.728,14.665
Amal P S,Frankfurt Spartans Cricket Club,,Right-arm fast,RHB,6,5.899,5.59,2.964,14.453
Arsalaan Mir,Dietzenbacher Cricket Star,,Right-arm fast,RHB,6,3.987,10.136,0.28,14.403
Boney Mathew,Frankfurt Spartans Cricket Club,All-Rounder,Right-arm medium,RHB,7,0.2,13.955,0.192,14.347
Hiru Dobs,TBG Neulusheim,Middle-order batter,Right-arm medium,RHB,5,5.413,7.669,1.064,14.146
Akthar Mahammad  Zadran,FCC Friends XI,,Right-arm fast,RHB,5,6.892,6.95,0.28,14.122
Harender Gupta,KK Challengers,All-Rounder,Right-arm medium,RHB,3,2.332,8.773,2.95,14.055
shashank chalak,Giessener 11,All-Rounder,Right-arm medium,RHB,6,0.808,11.554,1.634,13.996
Zeeshan Adeel Ahmad,Juggernaut Cricket Club,,Left-arm medium,LHB,3,6.506,6.804,0.28,13.59
Ali Raza,Dietzenbacher Cricket Star,,Right-arm fast,RHB,6,6.89,4.501,2.184,13.575
Nithin kumar,KK Challengers,,Right-arm fast,RHB,5,0.102,12.921,0.43,13.453
Rahul Shinde,TSGN Royal Lions,None,Right-arm medium,RHB,7,0,11.621,1.624,13.245
Atta- Ul Quddoos,Hawk Hunters,All-Rounder,Right-arm fast,RHB,6,1.1,12.102,0,13.202
Danish Ahmad,RCB Cricket Club Ruesselsheim,,Right-arm fast,RHB,4,8.833,3.592,0.504,12.929
Mayank Panchal,TSGN Royal Lions,All-Rounder,Left-arm medium,LHB,8,2.21,10.082,0.504,12.796
Kolla,TSV Darmstadt XI,,Right-arm fast,RHB,5,1.735,9.738,1.232,12.705
Yeshwanth Chandrashekar,TSV Darmstadt XI,Top-order batter,Right-arm medium,RHB,3,9.683,2.08,0.748,12.511
Atiq AWAN,FCC Friends XI,,Right-arm medium,RHB,4,11.48,0,1.008,12.488
Harsh Patel,TSGN Royal Warriors,Bowler,Right-arm medium,RHB,5,0.925,9.406,2.054,12.385
Raghu Vinod,TSV Darmstadt XI,,Right-arm fast,RHB,5,2.1,8.571,1.708,12.379
Anish sachdeva,Trebur Cricket Club,,Right-arm medium,RHB,5,7.81,3.893,0.672,12.375
Nipun K,DCC Rising Stars,All-Rounder,Right-arm fast,RHB,5,3.105,7.347,1.288,11.74
Sriram Karanam,SPVGG Dragons,,Left-arm fast,LHB,6,0.7,10.916,0,11.616
Giriyachar Koppar,RCB Cricket Club Ruesselsheim,Wicket-keeper batter,Right-arm medium,RHB,5,6.338,-0.035,5.064,11.367
Nikhil Yadav,MSC Black Bears,,Right-arm fast,RHB,3,0,10.792,0.224,11.016
Shrenik Jain,TSGN Royal Warriors,,Right-arm fast,RHB,2,0.6,10,0,10.6
Vinay Nagappa Mana,FCC Friends XI,,,RHB,4,9.624,0,0.84,10.464
RUPESH,Giessener 11,Opening batter,Right-arm medium,LHB,6,9.139,1.155,0.168,10.462
I AM GROOT,TBG Neulusheim,All-Rounder,Right-arm medium,RHB,5,2.418,7.969,0,10.387
Ravi Maheshwari,MSC Black Bears,All-Rounder,Right-arm medium,RHB,3,3.593,6.47,0.28,10.343
Nitish Kashyap,RCB Cricket Club Ruesselsheim,,Right-arm fast,RHB,5,4.517,5.335,0.28,10.132
Ali Syed,TGS Rising Challengers,,Right-arm medium,RHB,3,0,8.691,1.4,10.091
Khuram Rasheed,Dietzenbacher Cricket Star,,Slow left-arm orthodox,RHB,6,7.534,2.137,0.28,9.951
Tushar Benke,Juggernaut Cricket Club,,Left-arm medium,RHB,3,0.3,9.355,0,9.655
Febin Johny,Mainz Cricket Club,,Right-arm medium,RHB,3,4.225,5.394,0,9.619
joel sohal,Hawk Hunters,Opening batter,Right-arm Off Break,RHB,8,8.806,0,0.56,9.366
Matih Ullah,Mannschaft Ginnheimer,,Right-arm medium,RHB,3,0.6,7.073,1.68,9.353
Sushanth Gandepalli ,TSV Darmstadt United,,Right-arm medium,RHB,6,2.7,6.63,0,9.33
Noman Raja,Hawk Hunters,,Right-arm medium,RHB,5,3.811,3.978,1.512,9.301
Ankur Tyagi,SPVGG Dragons,,Right-arm Off Break,RHB,5,8.673,0,0.56,9.233
Sai ,TBG Neulusheim,,Right-arm fast,RHB,5,1.294,7.283,0.56,9.137
Rashid Ahamd,RCB Cricket Club Ruesselsheim,,Right-arm medium,RHB,5,2.614,5.846,0.56,9.02
Punith,FCC Friends XI,,Right-arm medium,RHB,5,4.455,4.03,0.28,8.765
Udayakumar Shunmugaraj,RCB Cricket Club Ruesselsheim,,Right-arm medium,RHB,4,0.106,8.642,0,8.748
Gopalam Moram,Tgs Indian Challengers,Middle-order batter,Right-arm Off Break,RHB,3,7.848,0.024,0.84,8.712
Hemant sai P,Giessener 11,,Left-arm medium,RHB,6,0.1,6.469,2.124,8.693
Kurra,DCC Rising Stars,All-Rounder,Right-arm medium,RHB,4,0,7.28,1.344,8.624
Uday Kumar Bandaru,TBG Neulusheim,All-Rounder,Right-arm medium,RHB,5,6.444,0,2.072,8.516
Amruth,Ingelheim Cricket Club,Bowler,Right-arm fast,RHB,3,1.196,5.896,1.344,8.436
Aditya GS,KK Challengers,,Right-arm fast,RHB,4,7.905,0,0.504,8.409
Dantas,Mainz Cricket Club,,Right-arm fast,RHB,5,4.12,0,4.262,8.382
Karthik Kasula,Hawk Hunters,,Right-arm fast,RHB,6,1.9,5.46,0.84,8.2
Jeswin Joseph M,Frankfurt Spartans Cricket Club,All-Rounder,Right-arm fast,RHB,6,5.316,2.289,0.504,8.109
Muhammad Khubaib,Mannschaft Ginnheimer,,Right-arm fast,RHB,3,7.645,-0.151,0.56,8.054
Gaggi Kalotha,SVS Frankfurt Eagles,All-Rounder,Right-arm medium,RHB,2,3.415,4.62,0,8.035
Uma,BlueWings,None,Right-arm fast,RHB,3,5.307,1.378,1.344,8.029
Supreeth Bharadwaj H S,TBG Neulusheim,All-Rounder,Right-arm fast,RHB,5,3.434,2.617,1.96,8.011
Santosh Upadhye,SPVGG Dragons,,Right-arm fast,RHB,4,0.1,6.003,1.904,8.007
Shivam Salunkhe,TSV Darmstadt United,All-Rounder,Right-arm medium,RHB,6,1.229,5.713,1.064,8.006
