player_id,name,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
11066263,H Pavan Kumar,SPVGG Dragons,3,3,5,36,3,5.67,7.2,0,6.8,34,Right-arm medium,6,22
29063790,Manoj Kumar,SPVGG Dragons,3,3,3,36,2,9.83,12,0,19.67,59,Right-arm fast,6,15
38367746,Santosh Upadhye,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm fast,0,0
29061009,Susheel Amingad,SPVGG Dragons,4,4,3,48,1,10.88,16,0,29,87,Right-arm fast,8,23
28007361,Yogesh Dhariyal,SPVGG Dragons,6,6,6,71,2,9.21,11.8,0,18.17,109,Right-arm fast,11.5,32
28640126,Adi,SPVGG Dragons,6,5,6,48,3,15.62,8,0,20.83,125,Right-arm fast,8,17
29046786,Kush Coshic,SPVGG Dragons,6,6,8,72,2,10.33,9,1,15.5,124,Right-arm fast,12,35
31510876,Keshav Rao,SPVGG Dragons,2,2,1,12,1,15,12,0,30,30,Right-arm medium,2,6
41959501,Sriram Karanam,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Left-arm fast,0,0
28007346,Allen Cutinha,SPVGG Dragons,3,3,4,36,3,13,9,0,19.5,78,Right-arm medium,6,14
38352714,Suyog Vaidya,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm fast,0,0
29718658,Shiva,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm fast,0,0
14454653,Riswan,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm fast,0,0
1173568,Anshul,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm fast,0,0
38351661,Sumit Agarwal,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm medium,0,0
744616,Navin Dhamecha,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm medium,0,0
2302435,Abhinav,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm medium,0,0
38541684,Lavnish Sharma,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm medium,0,0
