player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
20710655,Shrenik Jain,4220557,TSGN Royal Warriors,8,8,17,156,3,5.96,9.18,2,9.12,155,Right-arm fast,26.0,97
9691514,Shamim Ahmed,2948485,Frankfurt Strikers,8,8,17,141,4,6.43,8.29,0,8.88,151,Right-arm fast,23.3,78
457747,Viraj Shah,4220557,TSGN Royal Warriors,8,8,17,135,4,6.89,7.94,0,9.12,155,Left-arm fast,22.3,77
20843255,Harsh Patel,4220557,TSGN Royal Warriors,8,8,16,174,4,6.76,10.88,1,12.25,196,Right-arm medium,29.0,94
31708287,Sai Krishna Reddy Guntaka,7440693,TSV Darmstadt XI,5,5,15,106,4,5.72,7.07,2,6.73,101,Right-arm fast,17.4,71
5502863,Bharat Bandaru,4220352,TSGN Titans,6,6,15,123,5,6.83,8.20,0,9.33,140,Right-arm medium,20.3,74
29807641,Abdul Waseh Khawaja,430802,Tgs Indian Challengers,6,6,14,138,3,4.17,9.86,1,6.86,96,Right-arm fast,23.0,97
4253046,Gaggi Kalotha,2114868,SVS Frankfurt Eagles,8,8,13,186,4,6.06,14.31,1,14.46,188,Right-arm medium,31.0,125
2195382,Ankit Khurana,7437045,Hawk Hunters,8,8,13,150,3,8.68,11.54,1,16.69,217,Right-arm medium,25.0,81
5645595,Shanauaz Sohan,2948485,Frankfurt Strikers,7,7,12,144,3,5.29,12.00,1,10.58,127,Right-arm medium,24.0,86
38603737,Karan Dulloo,10403916,RCB XI,4,4,12,86,4,6.42,7.17,0,7.67,92,Right-arm fast,14.2,53
33987148,Sharooz Ahmad,7437045,Hawk Hunters,8,8,12,138,4,7.74,11.50,1,14.83,178,Right-arm medium,23.0,73
38772407,Md J Hossen,2948485,Frankfurt Strikers,8,8,11,120,3,5.35,10.91,1,9.73,107,Right-arm fast,20.0,74
3279362,Sudeept Jaiswal,430802,Tgs Indian Challengers,6,6,11,108,3,5.94,9.82,0,9.73,107,Right-arm medium,18.0,64
5657923,Hari P,7415125,Sulzbach XI,4,4,11,66,5,6.18,6.00,0,6.18,68,Right-arm medium,11.0,37
5478464,Tom Thomas,1517508,Frankfurt Spartans Cricket Club,5,5,11,95,4,6.25,8.64,1,9,99,Right-arm medium,15.5,60
5655194,Nitin,6290732,TSV Frankfurt Garuda,4,4,11,96,5,6.50,8.73,0,9.45,104,Right-arm medium,16.0,54
28426736,Khalid Mohammed,2114868,SVS Frankfurt Eagles,7,7,11,147,3,7.06,13.36,0,15.73,173,Right-arm medium,24.3,80
31696185,Sushanth Gandepalli,2623314,TSV Darmstadt United,6,6,10,138,2,6.09,13.80,0,14,140,Right-arm medium,23.0,80
