player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
3279430,Darshan Parameswara,430802,Tgs Indian Challengers,6,4,12,2,0,0,0,16,18
9760207,Mahabubul Islam,2948485,Frankfurt Strikers,8,6,11,0,2,0,0,17,17
18679127,Waled Khan,2114868,SVS Frankfurt Eagles,7,0,13,1,1,1,0,13,15
2827167,Uday Kumar Bandaru,10570905,TBG Neulusheim,4,0,14,0,0,0,0,14,14
31826985,Vamsidhar Mannam,6290732,TSV Frankfurt Garuda,4,0,14,0,2,0,0,14,14
29375926,Sai Sagar Titans,4220352,TSGN Titans,6,0,14,0,0,0,0,14,14
14412185,Harsha Parupalli,7444065,VFL_Kesselehim,5,5,7,1,0,0,0,12,13
5640040,Chandu Pillalamarri,2623314,TSV Darmstadt United,6,6,5,1,0,0,0,11,12
22141206,Karthik Chickel,7415125,Sulzbach XI,4,1,10,0,0,0,0,11,11
28363304,Vinay Nagappa Mana,10472983,FCC Friends XI,4,5,5,1,0,0,0,10,11
2739090,Bhavani Sankar,7440693,TSV Darmstadt XI,5,5,6,0,0,0,0,11,11
20710931,Mohd Akram,4220557,TSGN Royal Warriors,8,1,10,0,0,0,0,11,11
3173352,Rakesh Thimmegowda,430654,Royal Strikers FFM,3,3,7,0,0,0,0,10,10
32032092,Karthik Nag,10403916,RCB XI,4,1,9,0,0,0,0,10,10
5527584,Sehwag 319,2623314,TSV Darmstadt United,6,9,0,1,0,0,0,9,10
19059369,Noman Raja,7437045,Hawk Hunters,7,8,0,1,0,0,1,9,10
243003,Aravind Reddy G,4674227,BlueWings,4,1,4,3,1,0,1,6,9
9187360,Niloy Sarker,1402160,Skyline Strikers,4,0,8,1,0,0,0,8,9
20719400,Aamod Kulkarni,4220557,TSGN Royal Warriors,3,6,2,0,0,0,0,8,8
5502847,Arpit Samani,9390582,TSGN Royal Lions,6,5,3,0,1,0,0,8,8
31649154,Smruti Ranjan Panda,7437045,Hawk Hunters,6,0,8,0,1,0,0,8,8
38218709,Chirag Kankariya,9390582,TSGN Royal Lions,4,4,2,1,1,0,0,6,7
15379117,Jeswin Joseph M,1517508,Frankfurt Spartans Cricket Club,5,3,2,1,0,1,0,5,7
5645595,Shanauaz Sohan,2948485,Frankfurt Strikers,7,5,0,2,0,0,0,5,7
4253046,Gaggi Kalotha,2114868,SVS Frankfurt Eagles,8,5,1,1,0,0,0,6,7
