Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Gaggi Kalotha,SVS Frankfurt Eagles,All-Rounder,Right-arm medium,RHB,8,32.968,23.587,2.700,59.255
Viraj Shah,TSGN Royal Warriors,Middle-order batter,Left-arm fast,LHB,8,26.510,27.518,2.008,56.036
Shrenik Jain,TSGN Royal Warriors,,Right-arm fast,RHB,8,9.854,30.270,0.648,40.772
Shamim Ahmed,Frankfurt Strikers,None,Right-arm fast,RHB,8,11.330,27.880,0.798,40.008
Gurjinder singh,Hawk Hunters,,Left-arm fast,LHB,6,24.455,13.529,1.692,39.676
Bharat Bandaru,TSGN Titans,,Right-arm medium,RHB,6,10.954,24.409,3.852,39.215
Vaibhav Patil,Hawk Hunters,,Right-arm fast,RHB,7,23.076,13.530,1.404,38.010
Sharooz Ahmad,Hawk Hunters,,Right-arm medium,RHB,8,12.858,20.817,2.418,36.093
Sudeept Jaiswal,Tgs Indian Challengers,All-Rounder,Right-arm medium,RHB,6,18.543,16.334,1.086,35.963
Tom Thomas,Frankfurt Spartans Cricket Club,Opening batter,Right-arm medium,RHB,5,14.500,19.482,1.956,35.938
Anand Reddy Nallapapireddigari,TSV Darmstadt United,Middle-order batter,Right-arm medium,RHB,6,22.000,12.650,0.216,34.866
Nitin Tyagi,MSC Black Bears,,Right-arm fast,RHB,5,18.750,14.419,1.584,34.753
Sai Krishna Reddy Guntaka,TSV Darmstadt XI,,Right-arm fast,RHB,5,3.776,28.212,1.872,33.860
Harsh Patel,TSGN Royal Warriors,Bowler,Right-arm medium,RHB,8,0.000,28.171,3.276,31.447
Hameed Khan,SVS Frankfurt Eagles,All-Rounder,Left-arm medium,LHB,8,17.623,11.935,1.296,30.854
Mahabubul Islam,Frankfurt Strikers,All-Rounder,Right-arm medium,RHB,8,21.896,0.000,6.586,28.482
Leela Prasad,VFL_Kesselehim,All-Rounder,Right-arm medium,RHB,5,10.125,16.526,1.224,27.875
Uday Kumar Bandaru,TBG Neulusheim,All-Rounder,Right-arm medium,RHB,4,22.623,0.000,5.058,27.681
Abdul Waseh Khawaja,Tgs Indian Challengers,All-Rounder,Right-arm fast,RHB,6,0.704,25.971,0.936,27.611
Akash Muthanna,Frankfurt wolves,All-Rounder,Right-arm medium,LHB,4,12.683,14.235,0.216,27.134
Ibrahim Zadran,Hawk Hunters,,Right-arm medium,RHB,7,25.309,0.093,1.548,26.950
Zeesan Ahmed,FalconsXI,,Right-arm fast,RHB,4,24.570,1.527,0.360,26.457
Shanauaz Sohan,Frankfurt Strikers,All-Rounder,Right-arm medium,RHB,7,1.400,21.136,3.564,26.100
Karan Dulloo,RCB XI,,Right-arm fast,RHB,4,4.509,21.362,0.000,25.871
Mohd Akram,TSGN Royal Warriors,,Right-arm medium,RHB,8,22.164,0.000,3.476,25.640
JOMON SURESH KUMAR ELIZABETH,Karlsruhe Knights,,Right-arm fast,LHB,4,6.574,17.823,1.008,25.405
Srihari Nandamuri,TSGN Titans,All-Rounder,Right-arm medium,RHB,5,10.147,13.493,1.440,25.080
Ankit Khurana,Hawk Hunters,,Right-arm medium,RHB,8,0.200,23.932,0.864,24.996
Yeshwanth Chandrashekar,TSV Darmstadt XI,Top-order batter,Right-arm medium,RHB,5,24.198,0.000,0.648,24.846
Saad Ahmad,AMU Sultans,,Right-arm fast,RHB,4,13.248,8.383,2.808,24.439
Rohit baghel,Darebulls,All-Rounder,Right-arm medium,RHB,4,7.752,15.221,1.080,24.053
Waled Khan,SVS Frankfurt Eagles,,Right-arm fast,RHB,7,14.610,2.817,6.588,24.015
Nitin,TSV Frankfurt Garuda,,Right-arm medium,RHB,4,3.994,19.652,0.288,23.934
Md J Hossen,Frankfurt Strikers,,Right-arm fast,RHB,8,4.045,18.534,0.576,23.155
Iniyan Panneerselvan,Royal Strikers FFM,,Right-arm medium,RHB,3,10.270,12.168,0.648,23.086
Sahil Verma,TSV Darmstadt United,,Right-arm medium,RHB,6,2.605,17.019,2.988,22.612
Anirudh Rao,MSC Black Bears,All-Rounder,Right-arm fast,LHB,5,13.058,6.815,2.592,22.465
Raju B,Trebur Cricket Club,Top-order batter,Right-arm medium,RHB,4,19.613,2.040,0.648,22.301
Khalid Mohammed,SVS Frankfurt Eagles,,Right-arm medium,RHB,7,3.063,18.504,0.720,22.287
Irfan Muhammad,Darebulls,,Right-arm medium,RHB,4,12.631,8.175,1.440,22.246
Anubhav,Trebur Cricket Club,,Right-arm Off Break,RHB,5,8.636,12.599,1.008,22.243
Manoj Kumar,SPVGG Dragons,Lower-order batter,Right-arm fast,RHB,5,3.941,17.200,1.008,22.149
Muhammad Khubaib,Mannschaft Ginnheimer,,Right-arm fast,RHB,4,9.517,11.274,1.308,22.099
Harender Gupta,KK Challengers,All-Rounder,Right-arm medium,RHB,4,8.710,12.500,0.504,21.714
Hari P,Sulzbach XI,,Right-arm medium,RHB,4,4.107,17.242,0.360,21.709
Sahil Vashishtha,TSGN Royal Lions,All-Rounder,Right-arm Off Break,RHB,6,16.403,3.836,1.368,21.607
Rishi,TSGN Royal Warriors,All-Rounder,Right-arm fast,RHB,8,10.900,6.947,3.700,21.547
Noman Raja,Hawk Hunters,,Right-arm medium,RHB,7,8.191,9.463,3.888,21.542
Harsha Parupalli,VFL_Kesselehim,Middle-order batter,Right-arm fast,RHB,5,9.505,6.443,5.406,21.354
Gowthamraj,Royal Strikers FFM,None,Right-arm medium,RHB,4,9.066,11.873,0.360,21.299
Anish sachdeva,Trebur Cricket Club,,Right-arm medium,RHB,4,16.135,2.962,2.088,21.185
Uma,BlueWings,None,Right-arm fast,RHB,5,16.817,1.669,2.448,20.934
Akthar Mahammad  Zadran,FCC Friends XI,,Right-arm fast,RHB,4,9.556,10.620,0.648,20.824
Sharad Sharma,Friedrichsdorf Cricket Club,,Right-arm fast,RHB,4,7.200,13.302,0.288,20.790
Shreyas Suryanarayana,Frankfurt wolves,,Right-arm medium,RHB,4,16.122,3.600,0.936,20.658
Atul Pradeep,Karlsruhe Knights,Wicket-keeper batter,Right-arm medium,LHB,4,3.826,13.799,2.988,20.613
Muneeb Ullah,Trebur Cricket Club,,Right-arm fast,RHB,4,9.503,10.288,0.504,20.295
Randeep Singh,DCC Rising Stars,,Right-arm medium,RHB,4,12.731,6.606,0.936,20.273
Muhaiminur Rahman,Skyline Strikers,All-Rounder,Right-arm medium,RHB,3,6.104,12.935,1.164,20.203
Chirag kankariya,TSGN Royal Lions,,Right-arm fast,RHB,4,2.989,12.634,4.464,20.087
Bhavani Sankar,TSV Darmstadt XI,All-Rounder,Right-arm medium,RHB,5,4.335,12.438,3.240,20.013
Neelam Nagaraj,Tgs Indian Challengers,All-Rounder,Right-arm medium,RHB,6,18.672,0.000,1.080,19.752
Ashutosh Malasi,TSGN Royal Lions,,Right-arm fast,RHB,5,17.600,0.000,2.094,19.694
Akhil Thomas,SVS Frankfurt Eagles,All-Rounder,Right-arm fast,RHB,6,9.036,5.602,4.752,19.390
Jitendra Singh,TSGN Royal Lions,All-Rounder,Right-arm medium,RHB,6,6.680,11.252,1.440,19.372
Imtiaz Kh,SVS Frankfurt Eagles,All-Rounder,Right-arm fast,RHB,4,11.346,7.111,0.864,19.321
Shamil,Karlsruhe Knights,All-Rounder,Right-arm fast,RHB,5,3.139,14.144,1.872,19.155
Harinatha Gunditharu,Tgs Indian Challengers,,Right-arm fast,RHB,6,6.860,11.984,0.288,19.132
Satbir Sobti,VFL_Kesselehim,,Right-arm medium,RHB,5,5.738,11.869,1.440,19.047
Amit Bhandare,Aschaffenburg United,,Right-arm fast,RHB,4,0.500,17.819,0.720,19.039
Siva Tumpala,BlueWings,,Right-arm fast,RHB,5,4.445,12.011,2.526,18.982
Umapathy Kumar,Trebur Cricket Club,,Right-arm medium,RHB,5,4.510,12.805,1.260,18.575
I AM GROOT,TBG Neulusheim,All-Rounder,Right-arm medium,RHB,4,4.395,13.391,0.576,18.362
Maruf Hossain,Frankfurt Strikers,All-Rounder,Right-arm fast,RHB,6,0.200,16.983,1.144,18.327
Siddharth Sharma,MSC Black Bears,All-Rounder,Right-arm fast,RHB,4,9.405,8.558,0.360,18.323
Mithun Puthenkottupalliyil,Tgs Indian Challengers,Bowler,Right-arm medium,RHB,5,0.428,17.239,0.576,18.243
Aravind Reddy G,BlueWings,,Right-arm medium,RHB,4,6.743,5.187,6.192,18.122
Arif karim,Skyline Strikers,All-Rounder,Right-arm medium,RHB,3,9.100,8.613,0.288,18.001
Asad Shinwari,SVS Frankfurt Eagles,,Right-arm medium,RHB,6,3.039,11.576,3.384,17.999
Sushanth Gandepalli ,TSV Darmstadt United,,Right-arm medium,RHB,6,0.776,17.113,0.000,17.889
MS Arefin,Frankfurt Strikers,,Right-arm fast,RHB,8,2.200,15.038,0.568,17.806
Miral Gajjar,Frankfurt Spartans Cricket Club,,Left-arm medium,RHB,3,9.750,7.151,0.864,17.765
Abhishek Sachan,Old Monks XI,All-Rounder,Right-arm medium,RHB,4,6.764,8.537,2.448,17.749
Nitish Kashyap,SGM Guardians,,Right-arm fast,RHB,4,4.818,10.715,1.986,17.519
Lokender Vijayakumar,BlueWings,Top-order batter,Right-arm medium,RHB,5,11.706,5.279,0.288,17.273
Chandu Pillalamarri,TSV Darmstadt United,Wicket-keeper batter,Right-arm medium,RHB,6,12.373,0.000,4.824,17.197
Praveen Nagol,TSGN Titans,Wicket-keeper batter,Left-arm fast,RHB,6,11.026,3.137,3.024,17.187
Tarun Gautam,FalconsXI,All-Rounder,Right-arm medium,RHB,4,9.209,7.104,0.648,16.961
TUD Rhythm Chauhan,TSV Darmstadt United,None,Left-arm medium,LHB,2,4.000,11.996,0.900,16.896
Ali Naveed,Mannschaft Ginnheimer,,Right-arm medium,RHB,4,1.704,14.262,0.900,16.866
Arpit Samani,TSGN Royal Lions,All-Rounder,Right-arm fast,RHB,6,13.442,0.110,3.276,16.828
Vijay Gurram,Sulzbach XI,,Right-arm medium,RHB,4,3.207,13.451,0.000,16.658
Dhananjay Shellikeri,TSGN Royal Lions,,Right-arm medium,RHB,6,0.326,15.572,0.648,16.546
Hemant Patil,TSGN Royal Warriors,All-Rounder,Right-arm medium,RHB,6,14.519,0.000,1.976,16.495
Arpit Jain,TSGN Royal Lions,,Right-arm medium,RHB,5,11.510,3.417,1.440,16.367
Vrushabh Laddhad,KK Challengers,None,Right-arm medium,RHB,4,2.000,12.950,1.368,16.318
Rakesh Kumar Sahoo,Trebur Cricket Club,All-Rounder,Right-arm medium,RHB,5,1.510,14.060,0.720,16.290
Shubham Bhatt,TSGN Royal Warriors,All-Rounder,Right-arm medium,RHB,8,4.213,10.290,1.736,16.239
Ankit Joshi,TSGN Titans,,Left-arm medium,RHB,6,0.000,14.387,1.620,16.007
Daud Muhammad,SVS Frankfurt Eagles,All-Rounder,Left-arm fast,LHB,3,6.000,9.286,0.720,16.006
Bibi Mons,Old Monks XI,Wicket-keeper batter,Right-arm medium,RHB,4,5.600,7.396,2.994,15.990
sumanth Pulluru,TSV Darmstadt United,All-Rounder,Right-arm medium,RHB,5,12.500,1.620,1.836,15.956
Aakash Khaira,TSV Darmstadt United,,Left-arm medium,RHB,4,6.700,8.048,1.158,15.906
Bharath Mukunda,BlueWings,All-Rounder,Right-arm medium,RHB,5,6.085,8.897,0.900,15.882
Saurabh Singh,TSGN Mavericks,,Right-arm medium,RHB,4,5.328,9.646,0.720,15.694
Susheel Amingad,SPVGG Dragons,All-Rounder,Right-arm fast,RHB,5,6.136,5.965,3.456,15.557
Balaji Ramaraj,TSV Frankfurt Garuda,All-Rounder,Right-arm medium,RHB,2,6.300,7.366,1.800,15.466
Moin,Mannschaft Ginnheimer,,Right-arm fast,LHB,4,6.217,7.102,2.052,15.371
joel sohal,Hawk Hunters,Opening batter,Right-arm Off Break,RHB,8,14.481,0.000,0.870,15.351
Jithu Paul,Karlsruhe Knights,,Right-arm fast,RHB,5,6.036,7.517,1.656,15.209
Raghavan Sivaraj,Trebur Cricket Club,,Right-arm medium,RHB,5,1.300,12.286,1.620,15.206
Vignesh WK,TSGN Titans,,Right-arm fast,RHB,5,14.616,0.000,0.216,14.832
Mustafa Malik,TSGN Mavericks,,Right-arm medium,RHB,3,14.818,-0.034,0.000,14.784
Vineeth,SGM Guardians,,Right-arm fast,LHB,4,2.915,10.584,1.116,14.615
Charles Vincent,Frankfurt Spartans Cricket Club,,Right-arm Leg Break,RHB,4,5.738,8.424,0.360,14.522
Chandrashekar Umapathi,SPVGG Dragons,Top-order batter,Right-arm medium,RHB,4,11.297,0.000,3.168,14.465
Adel Zadran,FCC Friends XI,,Right-arm fast,RHB,4,1.300,12.749,0.360,14.409
Vaseekaran GK,Aschaffenburg United,,Right-arm medium,RHB,4,6.114,7.300,0.936,14.350
Saed Ashrati,SVS Frankfurt Eagles,,Right-arm medium,RHB,3,5.027,8.592,0.576,14.195
OG_Adepa,TSV Darmstadt United,Wicket-keeper batter,Right-arm Leg Break,RHB,6,10.375,0.021,3.708,14.104
Humad Khan,TSGN Mavericks,,Left-arm medium,RHB,4,8.152,3.689,2.238,14.079
Rony Johirul Islam,Frankfurt Strikers,,Right-arm fast,RHB,6,12.268,0.000,1.800,14.068
Zeeshan Alam,AMU Sultans,,Right-arm fast,RHB,4,1.000,11.613,1.440,14.053
Akarsha,VFL_Kesselehim,All-Rounder,Right-arm fast,RHB,3,7.796,5.533,0.576,13.905
Monirul Hemal,Frankfurt Strikers,Bowler,Right-arm medium,RHB,7,0.900,11.938,1.008,13.846
Pranay Kumar Pathike,TSV Darmstadt XI,All-Rounder,Right-arm medium,RHB,4,1.739,11.746,0.360,13.845
Jijo Spartans ,Frankfurt Spartans Cricket Club,,Right-arm fast,RHB,3,7.410,3.922,2.448,13.780
Matih Ullah,Mannschaft Ginnheimer,,Right-arm medium,RHB,3,6.990,5.189,1.518,13.697
Komal Theja Yedam,FCC Friends XI,All-Rounder,Right-arm medium,RHB,4,6.674,5.109,1.764,13.547
Punith,FCC Friends XI,,Right-arm medium,RHB,4,7.460,4.763,1.260,13.483
Aakash Parmar,TSGN Royal Warriors,,Right-arm fast,RHB,4,5.944,6.737,0.798,13.479
Rajat Duggal,TSGN Titans,,Right-arm medium,RHB,6,8.200,4.941,0.288,13.429
Akash Patni,KK Challengers,,Right-arm medium,RHB,4,8.662,3.215,1.440,13.317
Raghu Vinod,TSV Darmstadt XI,,Right-arm fast,RHB,3,0.000,10.863,2.376,13.239
Madhan,TGS Rising Challengers,,Right-arm fast,RHB,4,2.000,11.233,0.000,13.233
Kaushik Sekar,DCC Rising Stars,,Right-arm fast,RHB,3,1.707,10.768,0.648,13.123
Deepak Kumar Purseth,TSGN Mavericks,None,Right-arm medium,RHB,4,4.732,7.344,1.008,13.084
Kiran Prasad,SGM Guardians,,Right-arm medium,RHB,4,4.169,8.904,0.000,13.073
Haseeb Khan,AMU Sultans,,Right-arm medium,RHB,4,9.897,1.899,1.188,12.984
Sai ,TBG Neulusheim,,Right-arm fast,RHB,4,3.200,8.343,1.440,12.983
Anoop P B,Sulzbach XI,All-Rounder,Right-arm medium,RHB,4,1.900,10.919,0.000,12.819
Ravi Maheshwari,MSC Black Bears,All-Rounder,Right-arm medium,RHB,5,5.500,5.791,1.446,12.737
Akhil Bhadran,Karlsruhe Knights,All-Rounder,Right-arm medium,RHB,5,7.217,4.228,1.260,12.705
shashank chalak,Giessener 11,All-Rounder,Right-arm medium,RHB,2,6.465,5.754,0.360,12.579
Kuldeep,MSC Black Bears,Bowler,Right-arm fast,RHB,3,1.019,8.281,3.240,12.540
