Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Komal Theja Yedam,FCC Friends XI,All-Rounder,Right-arm medium,RHB,4,14.000,20.220,0.936,35.156
Tom Thomas,Frankfurt Spartans Cricket Club,Opening batter,Right-arm medium,RHB,6,12.000,17.780,1.086,30.866
Prasoon Verma,Frankfurt Spartans Cricket Club,All-Rounder,Right-arm fast,RHB,6,9.600,17.780,3.096,30.476
Mohd Akram,TSGN Royal Warriors,,Right-arm medium,RHB,5,29.800,0.000,0.360,30.160
Noman Raja,Hawk Hunters,,Right-arm medium,RHB,6,11.900,12.600,5.508,30.008
TUD Rhythm Chauhan,TSV Darmstadt United,None,Left-arm medium,LHB,3,12.600,12.160,1.086,25.846
Vaibhav Patil,Hawk Hunters,,Right-arm fast,RHB,6,16.200,6.480,2.736,25.416
Shibin,Frankfurt Spartans Cricket Club,Wicket-keeper batter,Right-arm fast,RHB,6,8.500,12.600,1.014,22.114
Bhavani Sankar,TSV Darmstadt XI,All-Rounder,Right-arm medium,RHB,4,4.300,14.180,2.520,21.000
Anirudh Rao,FCC Friends XI,All-Rounder,Right-arm fast,LHB,4,6.600,13.600,0.720,20.920
Humad Khan,TSGN Mavericks,,Left-arm medium,RHB,3,9.200,8.640,2.376,20.216
Ragunathan S,Trebur Cricket Club,Top-order batter,Right-arm medium,LHB,4,15.500,3.240,0.288,19.028
Sharooz Ahmad,Hawk Hunters,,Right-arm medium,RHB,6,5.500,11.520,1.728,18.748
Miral Gajjar,Frankfurt Spartans Cricket Club,,Left-arm medium,RHB,5,7.000,9.860,1.158,18.018
Ashutosh Malasi,TSGN Royal Lions,,Right-arm fast,RHB,3,16.300,0.000,0.936,17.236
Nipun K,DCC Rising Stars,All-Rounder,Right-arm fast,RHB,3,9.400,7.700,0.000,17.100
Rohith KB,Frankfurt Spartans Cricket Club,Wicket-keeper batter,Right-arm medium,RHB,6,11.800,0.000,5.190,16.990
Nikhil Narottam,TGS Rising Challengers,,Right-arm medium,RHB,3,6.400,9.500,0.864,16.764
Gokul Karthikeyan,Frankfurt Spartans Cricket Club,All-Rounder,Right-arm medium,LHB,6,10.800,5.760,0.000,16.560
Karthik Kasula,Hawk Hunters,,Right-arm fast,RHB,5,0.300,14.900,0.360,15.560
Rajasekhar ,TSGN Titans,,Right-arm medium,RHB,3,2.900,11.300,0.540,14.740
Rishi,TSGN Royal Warriors,All-Rounder,Right-arm fast,RHB,5,6.300,8.060,0.360,14.720
Sushanth Gandepalli ,TSV Darmstadt United,,Right-arm medium,RHB,4,0.600,13.460,0.288,14.348
Rahul Shinde,TSGN Royal Lions,None,Right-arm medium,RHB,3,3.400,9.140,1.368,13.908
Tanveer Ahmad,TSGN Mavericks,,Right-arm fast,RHB,3,0.700,12.880,0.216,13.796
Mayank Panchal,TSGN Royal Lions,All-Rounder,Left-arm medium,LHB,3,5.200,8.280,0.216,13.696
