player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
18679127,Waled Khan,2114868,SVS Frankfurt Eagles,5,1,16,1,1,0,0,17,18
31773042,Prajwal Hegde,7440693,TSV Darmstadt XI,7,2,10,1,0,0,0,12,13
10708263,Amit,9428609,Hanau Pioneers,4,0,9,1,0,0,0,9,10
3279430,Darshan Parameswara,430802,Tgs Indian Challengers,5,1,9,0,0,0,0,10,10
12791022,Chandrashekar Umapathi,7356382,SPVGG Dragons,6,0,7,1,3,1,0,7,9
23771969,Atul Pradeep,6941365,Karlsruhe Knights,4,0,6,1,0,0,1,7,8
18388331,Komal Theja,3642022,FCC Friends XI,2,2,4,0,0,0,1,7,7
9195963,Goutam Kumar Saha,8007462,SV Tigers am Main,3,0,6,0,0,1,0,6,7
5475264,Srikanth Thorlikonda,7440693,TSV Darmstadt XI,7,6,0,1,0,0,0,6,7
31627765,Alok Ranjan,7415121,MSC Achievers 11,3,0,5,1,1,0,0,5,6
31731649,Nikhil Yadav,2204871,MSC Black Bears,3,5,0,1,0,0,0,5,6
1973378,Satendra Chaudhary,806595,Juggernaut Cricket Club,4,5,0,1,0,0,0,5,6
2827167,Uday Kumar Bandaru,4814191,TBG Neulussheim,4,0,3,1,0,2,0,3,6
3173352,Rakesh Thimmegowda,430654,Royal Strikers FFM,4,0,6,0,2,0,0,6,6
10718499,Vaibhav Sareen,806595,Juggernaut Cricket Club,4,3,3,0,0,0,0,6,6
19059369,Noman Raja,7437045,Hawk Hunters,4,6,0,0,0,0,0,6,6
31706324,Waqas Qasim,9304922,Wetzlar Sixers,6,0,6,0,2,0,0,6,6
38170068,Sahil Zabiullah,9304922,Wetzlar Sixers,6,3,2,1,0,0,0,5,6
12352317,Daud Muhammad,2114868,SVS Frankfurt Eagles,7,6,0,0,0,0,0,6,6
16254681,Pranay Kumar Pathike,7440693,TSV Darmstadt XI,7,5,0,0,1,0,1,6,6
25317603,Raghu Vinod,7440693,TSV Darmstadt XI,7,4,0,0,0,0,2,6,6
5480703,Suriya Prakash,430802,Tgs Indian Challengers,2,0,5,0,0,0,0,5,5
38213103,Indrajeet Rajput,9390582,TSGN Royal Lions,2,1,3,1,0,0,0,4,5
839464,Harender Crick,6941365,Karlsruhe Knights,3,3,0,2,0,0,0,3,5
841517,Jaan,9436054,RCB,3,3,0,2,0,0,0,3,5
5527584,Adepa Naidu,2623314,TSV Darmstadt United,3,1,3,0,0,1,0,4,5
5630601,Sunil Patil,2204871,MSC Black Bears,3,0,5,0,1,0,0,5,5
16493774,Ujjwal Kumar,4814191,TBG Neulussheim,3,0,4,0,1,1,0,4,5
38367746,Santosh Upadhye,7356382,SPVGG Dragons,3,3,0,1,0,0,1,4,5
12797724,Rakesh Kumar Sahoo,3793721,Trebur Cricket Club,4,4,0,1,0,0,0,4,5
31708546,Zeesan Ahmed,7437938,FalconsXI,4,0,5,0,0,0,0,5,5
744616,Navin Dhamecha,7356382,SPVGG Dragons,6,5,0,0,0,0,0,5,5
38796186,Kaushik Keni,9491502,Mighty Titans,2,0,4,0,0,0,0,4,4
38995772,Dawood Shoaib Khan,2623314,TSV Darmstadt United,2,2,0,2,0,0,0,2,4
5655192,Girish Manmode,3793721,Trebur Cricket Club,3,0,4,0,0,0,0,4,4
12342906,Rahul Shinde,9390582,TSGN Royal Lions,3,3,0,1,0,0,0,3,4
12423573,Rishi,4220557,TSGN Royal Warriors,3,2,0,0,0,0,2,4,4
20711188,Hemant Patil,4220557,TSGN Royal Warriors,3,4,0,0,0,0,0,4,4
31653882,Karthik P,7424272,Freizeit CC,3,1,0,3,0,0,0,1,4
32100869,Gaurav Lanjekar,9428609,Hanau Pioneers,3,3,0,0,0,0,1,4,4
3278586,Chirag Oberoi,806595,Juggernaut Cricket Club,4,2,0,2,0,0,0,2,4
31700209,Sumit Das,7437938,FalconsXI,4,3,0,1,0,0,0,3,4
31709736,Saad Ahmad,7442593,AMU Sultans,4,3,1,0,0,0,0,4,4
31742086,Ramgopal Balijepalli,430654,Royal Strikers FFM,4,3,0,1,0,0,0,3,4
32195477,Saif Ur Rehman,7442593,AMU Sultans,4,4,0,0,0,0,0,4,4
3274991,Raviteja Manam,3642022,FCC Friends XI,5,3,0,0,0,0,1,4,4
16483699,Shashank Bayari,4814191,TBG Neulussheim,5,4,0,0,0,0,0,4,4
22860248,Supreeth Bharadwaj H S,4814191,TBG Neulussheim,5,2,0,2,0,0,0,2,4
32039398,Praveen Kumar Balaraj,4814191,TBG Neulussheim,5,3,0,1,1,0,0,3,4
2467546,Yeshwanth Chandrashekar,7440693,TSV Darmstadt XI,7,4,0,0,0,0,0,4,4
4253046,Gaggi Kalotha,2114868,SVS Frankfurt Eagles,7,3,0,1,0,0,0,3,4
3274978,Arun Balasubramanian,3642022,FCC Friends XI,2,0,3,0,0,0,0,3,3
3112619,Rajkumar (shunmu),7415125,Sulzbach XI,3,2,1,0,0,0,0,3,3
3260937,Arpit Jain,9390582,TSGN Royal Lions,3,2,0,0,0,0,1,3,3
5655236,Syed Khalander Pasha,4220557,TSGN Royal Warriors,3,0,3,0,0,0,0,3,3
14886437,Anand Reddy Nallapapireddigari,2623314,TSV Darmstadt United,3,2,0,1,0,0,0,2,3
19037092,Satish Kumar,2204871,MSC Black Bears,3,2,0,1,0,0,0,2,3
19041512,Chakradhar Akkaldevi 15,3793721,Trebur Cricket Club,3,1,1,1,1,0,0,2,3
22372457,Bharath Mukunda,4674227,BlueWings,3,2,0,1,0,0,0,2,3
23394182,Prasad Bolishetti,7415125,Sulzbach XI,3,3,0,0,0,0,0,3,3
27926891,Aravindan Kumar,6269379,TGS Rising Challengers,3,3,0,0,0,0,0,3,3
27958100,Charles Vincent,1517508,Frankfurt Spartans Cricket Club,3,3,0,0,0,0,0,3,3
28206444,Diljit Singh Kajal,6290732,TSV Frankfurt Garuda,3,0,3,0,0,0,0,3,3
28329955,Ahsan Safdar,7437938,FalconsXI,3,3,0,0,0,0,0,3,3
29718658,Shiva,7356382,SPVGG Dragons,3,3,0,0,1,0,0,3,3
31700116,Deepak Savant,7415121,MSC Achievers 11,3,2,0,1,0,0,0,2,3
32373429,Ar Shuvo,8007462,SV Tigers am Main,3,1,1,1,0,0,0,2,3
33418411,Ramesh Raveendran,7989971,Mainz Cricket Club,3,0,2,1,0,0,0,2,3
38869455,Kajen Pforzheim,6941365,Karlsruhe Knights,3,2,1,0,0,0,0,3,3
765882,Shibin,1517508,Frankfurt Spartans Cricket Club,4,2,0,0,0,0,1,3,3
13294628,Sreejith Sreedharan Nair,1517508,Frankfurt Spartans Cricket Club,4,2,0,0,0,0,1,3,3
28363291,Praveen Shukla Fcc,3642022,FCC Friends XI,4,3,0,0,0,0,0,3,3
31697606,Raju Lama,9304922,Wetzlar Sixers,4,3,0,0,0,0,0,3,3
31707540,Shashank Chalak,9304922,Wetzlar Sixers,4,1,0,2,0,0,0,1,3
32100774,Santosh Sharma,806595,Juggernaut Cricket Club,4,2,0,1,0,0,0,2,3
38198387,Nikash,6941365,Karlsruhe Knights,4,0,0,1,0,0,2,2,3
5504733,Laxman,3642022,FCC Friends XI,5,3,0,0,0,0,0,3,3
14141187,Sai,4814191,TBG Neulussheim,5,2,0,0,0,0,1,3,3
27925432,Neelam Nagaraj,430802,Tgs Indian Challengers,5,3,0,0,0,0,0,3,3
28363304,Vinay Nagappa Mana,3642022,FCC Friends XI,5,3,0,0,0,0,0,3,3
28640126,Adi,7356382,SPVGG Dragons,5,3,0,0,0,0,0,3,3
38806696,Sharif Manhil,9304922,Wetzlar Sixers,5,3,0,0,0,0,0,3,3
29061009,Susheel Amingad,7356382,SPVGG Dragons,6,3,0,0,0,0,0,3,3
31708287,Sai Krishna Reddy Guntaka,7440693,TSV Darmstadt XI,7,1,0,1,0,0,1,2,3
31709761,Rushikesh Ravindra Yadav,7440693,TSV Darmstadt XI,7,3,0,0,0,0,0,3,3
31718164,Veeru Kolla,7440693,TSV Darmstadt XI,7,3,0,0,0,0,0,3,3
31976623,Asad Shinwari,2114868,SVS Frankfurt Eagles,7,1,1,1,0,0,0,2,3
3237080,Ajay Kumar Bharath Kumar,430802,Tgs Indian Challengers,2,2,0,0,0,0,0,2,2
38588547,Amruth Gowda,9491502,Mighty Titans,2,2,0,0,0,0,0,2,2
38796112,Ujjwal Sachdeva,9491502,Mighty Titans,2,1,0,0,0,0,1,2,2
38989616,Prasanna Kumar Reddy N,2623314,TSV Darmstadt United,2,1,0,1,0,0,0,1,2
2169288,Pritesh Pereira,430802,Tgs Indian Challengers,3,2,0,0,0,0,0,2,2
2302435,Abhinav,7356382,SPVGG Dragons,3,2,0,0,0,0,0,2,2
4467796,Mukul B,9436054,RCB,3,0,0,1,1,0,1,1,2
9734068,D V Mohan Krishna,3793721,Trebur Cricket Club,3,2,0,0,0,0,0,2,2
10384575,Lalitesh,7424272,Freizeit CC,3,2,0,0,0,0,0,2,2
12798662,Vasanth Ramar,7424272,Freizeit CC,3,2,0,0,0,0,0,2,2
14946054,Tud Rhythm Chauhan,2623314,TSV Darmstadt United,3,2,0,0,0,0,0,2,2
15217646,Umashankar,4674227,BlueWings,3,2,0,0,0,0,0,2,2
22214133,Nikesh,7415125,Sulzbach XI,3,2,0,0,0,0,0,2,2
22371480,Siva Tumpala,4674227,BlueWings,3,2,0,0,0,0,0,2,2
22371540,Ram Reddy Nallawar,4674227,BlueWings,3,0,1,0,0,1,0,1,2
22372349,Gopal Cricket Germany,4674227,BlueWings,3,2,0,0,0,0,0,2,2
27923553,Dayakar Reddy Bayyam,6290732,TSV Frankfurt Garuda,3,1,0,1,0,0,0,1,2
28007279,Chaitanya Nekkalapudi,6290732,TSV Frankfurt Garuda,3,1,0,1,0,0,0,1,2
28329910,Irfan Muhammad,7437938,FalconsXI,3,2,0,0,0,0,0,2,2
31113661,Giriyachar Koppar,9436054,RCB,3,0,1,0,3,1,0,1,2
31627767,Manpreet Singh,7415121,MSC Achievers 11,3,1,0,1,0,0,0,1,2
31635261,Shama Sundar,9435425,SG Malchen,3,0,2,0,0,0,0,2,2
31709679,Gurjinder Singh,7437045,Hawk Hunters,3,2,0,0,0,0,0,2,2
31838682,Rashid Ahamd,9436054,RCB,3,1,0,1,0,0,0,1,2
31920798,Ragunathan S,3793721,Trebur Cricket Club,3,2,0,0,0,0,0,2,2
31980910,Het Naik,9435425,SG Malchen,3,2,0,0,0,0,0,2,2
32089504,Sahil Verma,2623314,TSV Darmstadt United,3,1,0,1,0,0,0,1,2
34046542,Basavaraj M,9428609,Hanau Pioneers,3,1,0,1,0,0,0,1,2
37593419,Shivam Salunkhe,2623314,TSV Darmstadt United,3,2,0,0,0,0,0,2,2
38542263,Adi Cricket,6941365,Karlsruhe Knights,3,2,0,0,0,0,0,2,2
38701574,Praveen V,9434097,Darebulls,3,0,2,0,0,0,0,2,2
39006591,Hamadh Khan,7415121,MSC Achievers 11,3,1,0,0,0,0,1,2,2
3277609,Baskar Ayyappa,3793721,Trebur Cricket Club,4,2,0,0,0,0,0,2,2
4871145,Lalit Sharma,806595,Juggernaut Cricket Club,4,2,0,0,0,0,0,2,2
5458344,Boney Mathew,1517508,Frankfurt Spartans Cricket Club,4,1,0,1,0,0,0,1,2
13480256,Gokul Karthikeyan,1517508,Frankfurt Spartans Cricket Club,4,2,0,0,0,0,0,2,2
22157027,Samuel Ajay Dasgupta,430654,Royal Strikers FFM,4,2,0,0,0,0,0,2,2
27911427,Tushar Benke,806595,Juggernaut Cricket Club,4,0,0,2,1,0,0,0,2
31510876,Keshav Rao,7356382,SPVGG Dragons,4,1,0,1,0,0,0,1,2
31631810,Akarsh H,1517508,Frankfurt Spartans Cricket Club,4,0,2,0,0,0,0,2,2
31708543,Hamid Shah,7437938,FalconsXI,4,2,0,0,0,0,0,2,2
31713327,Mohd Jan,7442593,AMU Sultans,4,0,1,0,0,0,1,2,2
31921448,Raghavan Sivaraj,3793721,Trebur Cricket Club,4,1,0,1,0,0,0,1,2
32031834,Selvaraj Kanniyan,430654,Royal Strikers FFM,4,2,0,0,0,0,0,2,2
34046449,Tejas Gadhe,9428609,Hanau Pioneers,4,1,0,1,0,0,0,1,2
36478281,Amal P S,1517508,Frankfurt Spartans Cricket Club,4,2,0,0,0,0,0,2,2
37944905,Khalid,9304922,Wetzlar Sixers,4,2,0,0,0,0,0,2,2
38610196,Premjit,7437938,FalconsXI,4,2,0,0,0,0,0,2,2
2401173,Mithun Puthenkottupalliyil,430802,Tgs Indian Challengers,5,2,0,0,0,0,0,2,2
28426736,Khalid Mohammed,2114868,SVS Frankfurt Eagles,5,2,0,0,0,0,0,2,2
30968172,Hiru Dobs,4814191,TBG Neulussheim,5,2,0,0,1,0,0,2,2
31649154,Smruti Ranjan Panda,7437045,Hawk Hunters,5,0,2,0,0,0,0,2,2
35998313,Dinesh Sai,4814191,TBG Neulussheim,5,1,0,1,1,0,0,1,2
19192429,Manikanteswar Reddy Goluguri,7440693,TSV Darmstadt XI,6,2,0,0,0,0,0,2,2
33491116,Hayatullah Habibzai,9304922,Wetzlar Sixers,6,2,0,0,1,0,0,2,2
37943331,Ikram,9304922,Wetzlar Sixers,6,2,0,0,0,0,0,2,2
37944866,Nasir,9304922,Wetzlar Sixers,6,2,0,0,0,0,0,2,2
26084196,Lovepreet Kamboj,2114868,SVS Frankfurt Eagles,7,0,0,1,1,0,1,1,2
5466900,Ajay Sb,7415121,MSC Achievers 11,1,1,0,0,0,0,0,1,1
5478464,Tom Thomas,1517508,Frankfurt Spartans Cricket Club,1,1,0,0,0,0,0,1,1
5657914,Manoop Gopalan,9428609,Hanau Pioneers,1,1,0,0,0,0,0,1,1
5661111,Guru Gadiwaddar,3793721,Trebur Cricket Club,1,0,0,1,0,0,0,0,1
14886259,Jithu Paul,6941365,Karlsruhe Knights,1,1,0,0,0,0,0,1,1
20338014,Tanmay Gorad,2623314,TSV Darmstadt United,1,1,0,0,0,0,0,1,1
28329954,Bilal Hazrat,7437938,FalconsXI,1,1,0,0,0,0,0,1,1
31742127,Sudheer Vasamshetty,430654,Royal Strikers FFM,1,0,0,1,0,0,0,0,1
31827025,Indeerjeet Singh,6290732,TSV Frankfurt Garuda,1,1,0,0,0,0,0,1,1
1025012,Praveen Shukla,3642022,FCC Friends XI,2,1,0,0,0,0,0,1,1
2913059,Waleed,7437938,FalconsXI,2,1,0,0,0,0,0,1,1
4539374,Rohit Arora,806595,Juggernaut Cricket Club,2,1,0,0,0,0,0,1,1
12770686,Talha Zameer,2204871,MSC Black Bears,2,1,0,0,0,0,0,1,1
19010055,Siddharth Sharma,2204871,MSC Black Bears,2,0,0,1,0,0,0,0,1
23269799,Nikhil Sharma,7437045,Hawk Hunters,2,1,0,0,0,0,0,1,1
27966622,Sadam Zadran,7437045,Hawk Hunters,2,0,0,1,0,0,0,0,1
28041893,Vivek Purohit,7437045,Hawk Hunters,2,1,0,0,0,0,0,1,1
31655083,Kapil Yadav,7424272,Freizeit CC,2,1,0,0,0,0,0,1,1
31713333,Wasiq Khursheed,7442593,AMU Sultans,2,1,0,0,0,0,0,1,1
