Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Imtiaz Kh,SVS Frankfurt Eagles,All-Rounder,Right-arm fast,RHB,6,18.707,10.027,0.000,28.734
Yeshwanth Chandrashekar,TSV Darmstadt XI,Top-order batter,Right-arm medium,RHB,7,27.213,0.000,1.158,28.371
Daud Muhammad,SVS Frankfurt Eagles,All-Rounder,Left-arm fast,LHB,7,18.901,5.975,2.018,26.894
Nasir,Wetzlar Sixers,,Right-arm medium,RHB,6,11.962,12.366,0.560,24.888
Pranay Kumar Pathike,TSV Darmstadt XI,All-Rounder,Right-arm medium,RHB,7,1.600,19.562,1.940,23.102
Ahmad Khan,AMU Sultans,,Right-arm medium,RHB,4,11.803,10.981,0.000,22.784
Chandrashekar Umapathi,SPVGG Dragons,Top-order batter,Right-arm medium,RHB,6,18.000,0.000,4.564,22.564
I AM GROOT,TBG Neulussheim,All-Rounder,Right-arm medium,RHB,5,9.596,9.891,2.380,21.867
Mithun Puthenkottupalliyil,Tgs Indian Challengers,Bowler,Right-arm medium,RHB,5,1.472,18.189,0.560,20.221
Veeru Kolla,TSV Darmstadt XI,,Right-arm fast,RHB,7,4.600,13.561,0.840,19.001
Praveen Kumar Damera,FCC Friends XI,,Right-arm medium,RHB,5,14.828,3.032,0.224,18.084
Gaggi Kalotha,SVS Frankfurt Eagles,All-Rounder,Right-arm medium,RHB,7,9.768,5.813,1.634,17.215
Atul Pradeep,Karlsruhe Knights,Wicket-keeper batter,Right-arm medium,LHB,4,6.965,6.895,3.304,17.164
Gaurav Lanjekar,Hanau Pioneers,All-Rounder,Right-arm Off Break,RHB,3,8.334,7.652,1.064,17.050
Lovepreet Kamboj,SVS Frankfurt Eagles,,Right-arm fast,LHB,7,2.200,12.637,2.100,16.937
Hayatullah Habibzai,Wetzlar Sixers,All-Rounder,Right-arm fast,RHB,6,2.670,12.484,1.204,16.358
H Pavan Kumar,SPVGG Dragons,,Right-arm medium,RHB,6,0.100,15.768,0.000,15.868
Nikash,Karlsruhe Knights,All-Rounder,Right-arm medium,RHB,4,2.981,10.790,1.960,15.731
Sudeept Jaiswal,Tgs Indian Challengers,All-Rounder,Right-arm medium,RHB,5,10.054,5.310,0.280,15.644
Vaibhav Sareen,Juggernaut Cricket Club,Opening batter,Right-arm Off Break,RHB,4,14.100,0.000,1.512,15.612
Akshay Natarajan,Royal Strikers FFM,,Right-arm medium,RHB,4,5.130,9.832,0.280,15.242
Raghu Vinod,TSV Darmstadt XI,,Right-arm fast,RHB,7,0.000,13.586,1.400,14.986
Tejas Gadhe,Hanau Pioneers,,Right-arm fast,RHB,4,5.157,8.712,0.980,14.849
Vinay Nagappa Mana,FCC Friends XI,,,RHB,5,13.851,0.000,0.690,14.541
Vaibhav Patil,Hawk Hunters,,Right-arm fast,RHB,5,3.574,10.831,0.000,14.405
Raviteja Manam,FCC Friends XI,Bowler,Right-arm fast,RHB,5,2.331,10.738,0.970,14.039
