Player ID,Player Name,Team,Matches,Innings,Wickets,Best Bowling,Runs Conceded,Balls Bowled,Overs Bowled,Maidens,Dot Balls,Economy,Average,Strike Rate,Bowling Style
11066263,H Pavan Kumar,SPVGG Dragons,37,36,54,5,669,531,87.9,1,270,7.61,12.39,9.83,Right-arm medium
29063790,Manoj Kumar,SPVGG Dragons,30,27,45,4,498,456,75.2,3,267,6.62,11.07,10.13,Right-arm fast
38367746,Santosh Upadhye,SPVGG Dragons,18,18,29,3,298,314,52.2,4,180,5.71,10.28,10.83,Right-arm fast
29046786,Kush Coshic,SPVGG Dragons,20,20,26,5,395,299,49.5,2,145,7.98,15.19,11.5,Right-arm fast
29061009,Susheel Amingad,SPVGG Dragons,34,34,24,3,803,474,78.6,0,225,10.22,33.46,19.75,Right-arm fast
28007361,Yogesh Dhariyal,SPVGG Dragons,26,23,23,3,478,365,60.5,6,203,7.9,20.78,15.87,Right-arm fast
28640126,Adi,SPVGG Dragons,31,14,18,3,263,172,28.4,3,98,9.26,14.61,9.56,Right-arm fast
31510876,Keshav Rao,SPVGG Dragons,17,14,12,2,219,160,26.4,0,78,8.3,18.25,13.33,Right-arm medium
28007346,Allen Cutinha,SPVGG Dragons,11,11,10,3,186,168,28.0,0,95,6.64,18.6,16.8,Right-arm medium
41959501,Sriram Karanam,SPVGG Dragons,7,6,8,2,66,60,10.0,0,37,6.6,8.25,7.5,Left-arm fast
38352714,Suyog Vaidya,SPVGG Dragons,8,5,5,2,118,78,13.0,0,34,9.08,23.6,15.6,Right-arm fast
1173568,Anshul,SPVGG Dragons,6,6,4,1,97,74,12.2,1,37,7.95,24.25,18.5,Right-arm fast
29718658,Shiva,SPVGG Dragons,3,3,1,1,22,33,5.3,0,21,4.15,22.0,33.0,Right-arm fast
14454653,Riswan,SPVGG Dragons,1,1,1,1,23,18,3.0,0,10,7.67,23.0,18.0,Right-arm fast
38351661,Sumit Agarwal,SPVGG Dragons,3,3,0,0,12,18,3.0,0,12,4.0,0.0,0.0,Right-arm medium
744616,Navin Dhamecha,SPVGG Dragons,16,1,0,0,9,6,1.0,0,3,9.0,0.0,0.0,Right-arm medium
2302435,Abhinav,SPVGG Dragons,2,1,0,0,10,6,1.0,0,1,10.0,0.0,0.0,Right-arm medium
38541684,Lavnish Sharma,SPVGG Dragons,4,4,0,0,84,48,8.0,0,16,10.5,0.0,0.0,Right-arm medium
